bmkegId	uri	resource_id
55	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684400&PLACEBO=IE.pdf&mode=pdf	32336
56	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684402&PLACEBO=IE.pdf&mode=pdf	32338
57	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684403&PLACEBO=IE.pdf&mode=pdf	32342
58	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684405&PLACEBO=IE.pdf&mode=pdf	32344
59	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684404&PLACEBO=IE.pdf&mode=pdf	32347
60	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684397&PLACEBO=IE.pdf&mode=pdf	32350
61	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684398&PLACEBO=IE.pdf&mode=pdf	32352
62	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684401&PLACEBO=IE.pdf&mode=pdf	32355
63	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684399&PLACEBO=IE.pdf&mode=pdf	32358
64	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684394&PLACEBO=IE.pdf&mode=pdf	32361
65	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684395&PLACEBO=IE.pdf&mode=pdf	32368
66	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684388&PLACEBO=IE.pdf&mode=pdf	32370
67	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684387&PLACEBO=IE.pdf&mode=pdf	32372
68	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684386&PLACEBO=IE.pdf&mode=pdf	32375
69	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684385&PLACEBO=IE.pdf&mode=pdf	32377
70	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684382&PLACEBO=IE.pdf&mode=pdf	32379
71	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684384&PLACEBO=IE.pdf&mode=pdf	32381
72	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684383&PLACEBO=IE.pdf&mode=pdf	32383
73	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684377&PLACEBO=IE.pdf&mode=pdf	32385
74	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684379&PLACEBO=IE.pdf&mode=pdf	32387
75	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684376&PLACEBO=IE.pdf&mode=pdf	32390
76	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684378&PLACEBO=IE.pdf&mode=pdf	32392
77	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684366&PLACEBO=IE.pdf&mode=pdf	32393
78	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684367&PLACEBO=IE.pdf&mode=pdf	32397
79	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684368&PLACEBO=IE.pdf&mode=pdf	32400
80	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684369&PLACEBO=IE.pdf&mode=pdf	32403
81	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684370&PLACEBO=IE.pdf&mode=pdf	32404
82	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684364&PLACEBO=IE.pdf&mode=pdf	32408
83	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684365&PLACEBO=IE.pdf&mode=pdf	32411
84	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684357&PLACEBO=IE.pdf&mode=pdf	32412
85	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684356&PLACEBO=IE.pdf&mode=pdf	32415
86	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684359&PLACEBO=IE.pdf&mode=pdf	32417
87	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684358&PLACEBO=IE.pdf&mode=pdf	32418
88	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684360&PLACEBO=IE.pdf&mode=pdf	32420
89	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684355&PLACEBO=IE.pdf&mode=pdf	32422
90	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712458&PLACEBO=IE.pdf&mode=pdf	32426
91	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684487&PLACEBO=IE.pdf&mode=pdf	32429
92	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684486&PLACEBO=IE.pdf&mode=pdf	32431
93	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684484&PLACEBO=IE.pdf&mode=pdf	32433
94	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684483&PLACEBO=IE.pdf&mode=pdf	32436
95	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684479&PLACEBO=IE.pdf&mode=pdf	32442
96	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684477&PLACEBO=IE.pdf&mode=pdf	32443
