bmkegId	affiliation	lastName	initials
32595	\N	Malatesta	CZ
32597	\N	Rockel	AJ
32600	\N	Smith	OA
32601	\N	Kastella	KG
32602	\N	Randall	DC
32604	\N	Brawer	JR
32606	\N	McLaughlin	BJ
32610	\N	Mejia	HH
32616	\N	Hendrickson	AE
32619	\N	Hollyfield	JG
32621	\N	Osen	KK
32623	\N	Westergaard	E
32625	\N	Potter	HD
32627	\N	Walsh	TM
32629	\N	Moskowitz	N
32630	\N	Liu	JC
32632	\N	Famiglietti	EV
32635	\N	Ifft	JD
32638	\N	Del Cerro	MP
32639	\N	Snider	RS
32642	\N	Henry	JL
32643	\N	Calaresu	FR
32646	\N	Carpenter	MB
32647	\N	Peter	P
32649	\N	Wong-Riley	MT
32652	\N	Fry	FJ
32653	\N	Cowan	WM
32655	\N	Dunn	GA
32657	\N	Bass	NH
32658	\N	Hess	HH
32659	\N	Pope	A
32660	\N	Thalheimer	C
32664	\N	Armstrong	PB
32665	\N	Higgins	DC
32667	\N	Foos	RY
32668	\N	Miyamasu	W
32671	\N	Mochizuki	K
32672	\N	Akimoto	C
32673	\N	Matsushima	R
32674	\N	Sasaki	K
32677	\N	Lund	JS
32679	\N	Cohen	AI
32681	\N	Rogers	LA
32685	\N	Nakamura	Y
32687	\N	Schlaepfer	WW
32688	\N	Myers	FK
32690	\N	Raisman	G
32693	\N	Allman	JM
32695	\N	Bacsik	RD
32700	\N	Mlonyeni	M
32702	\N	Pope	JE
32705	\N	Zeigler	HP
32706	\N	Silver	R
32708	\N	Oppenheim	RW
32711	\N	Kemper	TL
32713	\N	Spatz	WB
32715	\N	Goldberg	S
32716	\N	Coulombre	AJ
32718	\N	Hubel	DH
32719	\N	Wiesel	TN
32722	\N	Anderson	WJ
32724	\N	De Olmos	JS
32725	\N	Ingram	WR
32727	\N	Privat	A
32731	\N	Dixon	JS
32732	\N	Gosling	JA
32734	\N	Ling	H
32736	\N	Petras	JM
32737	\N	Cummings	JF
32739	\N	Gona	AG
32741	\N	Hinds	JW
32744	\N	Hazlett	JC
32746	\N	Lyser	KM
32748	\N	Sinclair	JG
32750	\N	Kornguth	SE
32751	\N	Scott	G
32753	\N	Mathers	LH
32756	\N	Moore	RY
32757	\N	Lenn	NJ
32760	\N	Gottlieb	DI
32762	\N	Vaughan	DW
32764	\N	Schafer	R
32765	\N	Sanchez	TV
32767	\N	Brodal	A
32770	\N	Pierson	RJ
32772	\N	Tennyson	VM
32773	\N	Mytilineou	C
32774	\N	Barrett	RE
32776	\N	Burton	H
32777	\N	McFarlane	JJ
32779	\N	Toole	JF
32780	\N	Bullock	TH
32782	\N	Morgan	MJ
32783	\N	O'Donnell	JM
32784	\N	Oliver	RF
32786	\N	Rovainen	CM
32787	\N	Johnson	PA
32788	\N	Roach	EA
32789	\N	Mankovsky	JA
32795	\N	Kerr	C
32797	\N	Paterson	JA
32798	\N	Ling	EA
32803	\N	Bonbright	JC
32807	\N	Smith	RL
32811	\N	Basbaum	AI
32812	\N	Hand	PJ
32814	\N	Kruger	L
32816	\N	Perkins	RE
32818	\N	Hartmann	HA
32819	\N	Monzain	R
32820	\N	Desnoyers	P
32822	\N	Steinberg	RH
32823	\N	Reid	M
32824	\N	Lacy	PL
32826	\N	Kraus-Ruppert	R
32827	\N	Laissue	J
32828	\N	Bürki	H
32829	\N	Odartchenko	N
32831	\N	Parent	A
32834	\N	Zeki	SM
32836	\N	Mayhew	TM
32837	\N	Momoh	CK
32839	\N	Grieshaber	JA
32841	\N	Dubbeldam	JL
32843	\N	Boycott	BB
32844	\N	Kolb	H
32846	\N	Stell	WK
32851	\N	Hopkins	AP
32852	\N	Lambert	EH
32854	\N	Hubbard	JE
32855	\N	Di Carlo	V
32859	\N	Brightman	MW
32863	\N	Cuénod	M
32866	\N	West	CD
32867	\N	Harrison	JM
32869	\N	Heaton	MB
32871	\N	Vanegas	H
32872	\N	Ebbesson	SO
32875	\N	Chow	KL
32876	\N	Spear	PD
32878	\N	Ruffett	TL
32880	\N	Kerns	JM
32881	\N	Hinsman	EJ
32884	\N	Kuo	JS
32886	\N	Kanarek	DA
32888	\N	Pfaff	D
32889	\N	Keiner	M
32891	\N	Hoffman	DL
32892	\N	Sladek	JR
32894	\N	Yanagisawa	N
32896	\N	Yaksta-Sauerland	BA
32898	\N	Maler	L
32899	\N	Bennett	MV
32902	\N	Custer	NV
32904	\N	Adrian	EK
32905	\N	Williams	MG
32907	\N	Fujita	S
32909	\N	Grossman	A
32910	\N	Lieberman	AR
32911	\N	Webster	KE
32914	\N	Nauta	HJ
32915	\N	Butler	AB
32917	\N	Nauta	WJ
32918	\N	Revzin	AM
32920	\N	Tapp	RL
32922	\N	Werner	JK
32924	\N	Stone	J
32925	\N	Leicester	J
32926	\N	Sherman	SM
32928	\N	Wirth	FP
32930	\N	Valverde	F
32932	\N	Norgren	R
32934	\N	Zeier	HJ
32936	\N	Dempsey	EW
32938	\N	Korr	H
32939	\N	Schultze	B
32940	\N	Maurer	W
32943	\N	Yoon	CH
32944	\N	Frouhar	ZR
32947	\N	Price	JL
32949	\N	Ueyama	T
32951	\N	Ikeda	M
32953	\N	LeVay	S
32956	\N	Hayle	TH
32960	\N	Shackelford	RM
32962	\N	Brown	LT
32965	\N	Earle	AM
32969	\N	McKenna	OC
32971	\N	Laufer	M
32974	\N	Amat	J
32976	\N	Gruner	JE
32977	\N	Hirsch	JC
32978	\N	Sotelo	C
32980	\N	Anker	RL
32981	\N	Cragg	BG
32983	\N	Cloyd	MW
32984	\N	Low	FN
32986	\N	Ogden	TE
32990	\N	Drian	MJ
32991	\N	Mandon	P
32994	\N	Cruce	JA
32996	\N	Yazulla	S
32998	\N	Leure-Dupree	AE
33000	\N	Hamburger	V
33004	\N	Strick	PL
33005	\N	Sterling	P
33007	\N	Coulter	JD
33008	\N	Willis	WD
33010	\N	Sindou	M
33011	\N	Quoex	C
33012	\N	Baleydier	C
33014	\N	Bignami	A
33015	\N	Dahl	D
33017	\N	Cruce	WL
33019	\N	Jacobs	L
33020	\N	Comroe	JH
33022	\N	Miller	DM
33023	\N	Dunagan	TT
33024	\N	Richardson	J
33026	\N	Falls	W
33028	\N	Hori	M
33029	\N	Rapoport	SI
33030	\N	Reese	TS
33032	\N	Pate	P
33034	\N	Miller	RA
33036	\N	Willey	TJ
33038	\N	Bowman	JP
33041	\N	Hafner	GS
33044	\N	Hirose	G
33046	\N	Nordlander	RH
33047	\N	Singer	M
33049	\N	Mosko	S
33050	\N	Lynch	G
33051	\N	Cotman	CW
33054	\N	Fuller	PM
33061	\N	Blanks	JC
33062	\N	Adinolfi	AM
33063	\N	Lolley	RN
33066	\N	Kimmel	CB
33067	\N	Schabtach	E
33069	\N	Turner	JE
33071	\N	Currie	J
33073	\N	Sutherland	RM
33075	\N	Swanson	LW
33077	\N	Hickey	TL
33079	\N	Casagrande	VA
33081	\N	Conrad	LC
33082	\N	Pfaff	DW
33084	\N	Braford	MR
33086	\N	Rosenberg	ME
33088	\N	Lauder	JM
33089	\N	Bloom	FE
33091	\N	Rustioni	A
33093	\N	Fukuda	Y
33096	\N	Sharma	SC
33098	\N	Kane	EC
33100	\N	Rivera-Dominguez	M
33103	\N	Morest	DK
33105	\N	Fukuda	J
33108	\N	Towns	LC
33109	\N	Haste	DA
33112	\N	Crossland	WJ
33113	\N	Kelly	JP
33116	\N	Landis	DM
33118	\N	Raviola	E
33120	\N	Monagle	RD
33121	\N	Brody	H
33123	\N	Pickel	VM
33124	\N	Segal	M
33131	\N	Pottras	D
33133	\N	Leavitt	RY
33135	\N	Lindvall	O
33136	\N	Björklund	A
33137	\N	Nobin	A
33138	\N	Stenevi	U
33140	\N	Correia	MJ
33141	\N	Landolt	JP
33142	\N	Young	ER
33144	\N	Harvey	RJ
33146	\N	Yuen	H
33147	\N	Dom	RM
33149	\N	Lund	RD
33150	\N	Wise	RP
33152	\N	Finger	T
33155	\N	Kanaseki	T
33160	\N	Ptacek	JM
33161	\N	Fagan-Dubin	L
33164	\N	Nowak	B
33166	\N	Robertson	LT
33167	\N	Stoler	WA
33169	\N	Anders	JJ
33170	\N	Hibbard	E
33173	\N	Tiwari	RK
33174	\N	King	RB
33177	\N	Murray	M
33178	\N	Goldberger	ME
33181	\N	Bayer	SA
33184	\N	Oosaki	T
33185	\N	Sugai	N
33190	\N	Siegel	A
33191	\N	Edinger	H
33192	\N	Ogami	S
33194	\N	Flood	PR
33196	\N	Samorajski	T
33198	\N	Fangboner	RF
33199	\N	Vanable	JW
33201	\N	Silver	J
33202	\N	Hughes	AF
33204	\N	del Cerro	M
33206	\N	LaVail	JH
33208	\N	Creps	ES
33211	\N	Giuditta	A
33212	\N	Prozzo	N
33214	\N	Tyrer	NM
33215	\N	Altman	JS
33217	\N	Palkovits	M
33218	\N	Jacobowitz	DM
33221	\N	Malloy	JJ
33223	\N	Jones	BE
33226	\N	Rees	R
33227	\N	Bunge	RP
33231	\N	Nakajima	Y
